일시,기온(°C),지면온도(°C),일조X일사,온도차
2015-01-01 12:00,-6.9,-0.6,1.41,6.300000000000001
2015-01-02 12:00,-4.1,-0.5,1.37,3.5999999999999996
2015-01-03 12:00,0.2,-0.4,1.33,-0.6000000000000001
2015-01-05 12:00,6.4,0.1,1.12,-6.300000000000001
2015-01-06 12:00,-3.5,0.2,1.49,3.7
2015-01-07 12:00,-4.1,-0.3,1.45,3.8
2015-01-08 12:00,-3.5,-0.4,1.42,3.1
2015-01-09 12:00,0.5,-0.3,1.01,-0.8
2015-01-10 12:00,3.6,-0.3,1.4,-3.9
2015-01-11 12:00,-0.2,0.0,1.4,0.2
2015-01-12 12:00,-1.3,-0.3,1.39,1.0
2015-01-13 12:00,1.5,-0.2,1.12,-1.7
2015-01-15 12:00,3.8,0.0,1.12,-3.8
2015-01-16 12:00,3.0,0.2,1.03,-2.8
2015-01-17 12:00,-3.7,-0.2,1.51,3.5
2015-01-19 12:00,2.0,0.6,1.34,-1.4
2015-01-22 12:00,4.0,0.6,1.04,-3.4
2015-01-24 12:00,6.3,4.6,1.32,-1.7000000000000002
2015-01-27 12:00,-3.8,0.3,1.62,4.1
2015-01-28 12:00,-3.8,0.1,1.41,3.9
2015-01-30 12:00,-1.7,0.1,1.58,1.8
2015-01-31 12:00,-4.2,0.0,1.58,4.2
2015-02-01 12:00,-1.5,0.0,1.63,1.5
2015-02-02 12:00,0.5,0.0,1.5,-0.5
2015-02-03 12:00,2.9,0.0,1.13,-2.9
2015-02-04 12:00,2.2,0.1,1.053,-2.1
2015-02-05 12:00,0.8,0.1,1.46,-0.7000000000000001
2015-02-06 12:00,3.3,0.1,1.63,-3.1999999999999997
2015-02-07 12:00,4.2,0.2,1.15,-4.0
2015-02-08 12:00,-9.2,-0.3,1.7,8.899999999999999
2015-02-09 12:00,-3.7,-0.2,1.68,3.5
2015-02-10 12:00,4.7,0.3,1.28,-4.4
2015-02-11 12:00,2.7,2.2,1.63,-0.5
2015-02-12 12:00,-0.5,0.1,1.76,0.6
2015-02-13 12:00,0.4,0.1,1.78,-0.30000000000000004
2015-02-15 12:00,10.0,8.0,1.33,-2.0
2015-02-17 12:00,2.7,6.9,1.43,4.2
2015-02-18 12:00,2.7,7.6,1.49,4.8999999999999995
2015-02-19 12:00,3.1,7.0,1.77,3.9
